[CURSOR-ABS] hand=(0.378,0.388) filter=(0.399,0.407) target=(673,437) cursor=(641,453)
[CURSOR-ABS] hand=(0.363,0.390) filter=(0.389,0.402) target=(710,426) cursor=(673,437)
[CURSOR-ABS] hand=(0.347,0.399) filter=(0.377,0.401) target=(757,425) cursor=(710,427)
[CURSOR-ABS] hand=(0.331,0.407) filter=(0.365,0.403) target=(805,428) cursor=(757,425)
[CURSOR-ABS] hand=(0.315,0.417) filter=(0.351,0.407) target=(858,437) cursor=(805,428)
[CURSOR-ABS] hand=(0.303,0.431) filter=(0.337,0.414) target=(911,452) cursor=(858,437)
[CURSOR-ABS] hand=(0.294,0.448) filter=(0.325,0.423) target=(958,473) cursor=(910,452)
[CURSOR-ABS] hand=(0.290,0.466) filter=(0.315,0.435) target=(996,499) cursor=(957,472)
[CURSOR-ABS] hand=(0.293,0.483) filter=(0.309,0.449) target=(1019,528) cursor=(995,499)
[CURSOR-ABS] hand=(0.299,0.497) filter=(0.306,0.462) target=(1029,557) cursor=(1018,527)
[CURSOR-ABS] hand=(0.309,0.510) filter=(0.307,0.476) target=(1026,587) cursor=(1029,557)
[CURSOR-ABS] hand=(0.321,0.523) filter=(0.311,0.489) target=(1011,615) cursor=(1026,587)
[CURSOR-ABS] hand=(0.334,0.538) filter=(0.321,0.511) target=(973,662) cursor=(1011,615)
[CURSOR-ABS] hand=(0.348,0.550) filter=(0.328,0.522) target=(944,686) cursor=(973,662)
[CURSOR-ABS] hand=(0.366,0.556) filter=(0.339,0.532) target=(903,707) cursor=(944,686)
[CURSOR-ABS] hand=(0.383,0.563) filter=(0.351,0.541) target=(855,726) cursor=(903,707)
[CURSOR-ABS] hand=(0.401,0.563) filter=(0.365,0.547) target=(802,740) cursor=(855,726)
[CURSOR-ABS] hand=(0.418,0.558) filter=(0.380,0.550) target=(744,747) cursor=(803,740)
[CURSOR-ABS] hand=(0.435,0.546) filter=(0.396,0.549) target=(686,745) cursor=(745,747)
[CURSOR-ABS] hand=(0.450,0.531) filter=(0.411,0.544) target=(626,734) cursor=(686,745)
[CURSOR-ABS] hand=(0.467,0.511) filter=(0.428,0.535) target=(563,713) cursor=(626,734)
[CURSOR-ABS] hand=(0.476,0.490) filter=(0.441,0.522) target=(510,687) cursor=(563,714)
[CURSOR-ABS] hand=(0.483,0.474) filter=(0.454,0.508) target=(463,657) cursor=(510,687)
[CURSOR-ABS] hand=(0.484,0.456) filter=(0.462,0.494) target=(431,625) cursor=(464,657)
[CURSOR-ABS] hand=(0.479,0.436) filter=(0.467,0.478) target=(413,590) cursor=(431,626)
[CURSOR-ABS] hand=(0.470,0.424) filter=(0.468,0.462) target=(409,557) cursor=(413,590)
[CURSOR-ABS] hand=(0.458,0.406) filter=(0.465,0.446) target=(420,523) cursor=(409,557)
[CURSOR-ABS] hand=(0.441,0.397) filter=(0.458,0.432) target=(446,492) cursor=(420,523)
[CURSOR-ABS] hand=(0.425,0.381) filter=(0.449,0.418) target=(482,461) cursor=(446,492)
[CURSOR-ABS] hand=(0.409,0.371) filter=(0.438,0.405) target=(524,432) cursor=(481,461)
[CURSOR-ABS] hand=(0.390,0.365) filter=(0.424,0.393) target=(576,408) cursor=(523,433)
[CURSOR-ABS] hand=(0.373,0.364) filter=(0.410,0.385) target=(630,390) cursor=(576,408)
[CURSOR-ABS] hand=(0.352,0.361) filter=(0.394,0.378) target=(694,375) cursor=(629,390)
[CURSOR-ABS] hand=(0.331,0.357) filter=(0.375,0.372) target=(764,362) cursor=(693,375)
[CURSOR-ABS] hand=(0.314,0.357) filter=(0.358,0.368) target=(829,353) cursor=(762,362)
[CURSOR-ABS] hand=(0.296,0.360) filter=(0.340,0.365) target=(898,348) cursor=(828,353)
[CURSOR-ABS] hand=(0.282,0.364) filter=(0.324,0.365) target=(961,347) cursor=(897,348)
[CURSOR-ABS] hand=(0.268,0.372) filter=(0.308,0.367) target=(1023,351) cursor=(960,347)
[CURSOR-ABS] hand=(0.257,0.381) filter=(0.293,0.371) target=(1081,360) cursor=(1023,351)
[CURSOR-ABS] hand=(0.245,0.388) filter=(0.278,0.376) target=(1136,370) cursor=(1081,360)
[CURSOR-ABS] hand=(0.232,0.399) filter=(0.266,0.382) target=(1184,384) cursor=(1135,370)
[CURSOR-ABS] hand=(0.219,0.413) filter=(0.253,0.391) target=(1233,402) cursor=(1184,384)
[CURSOR-ABS] hand=(0.210,0.417) filter=(0.240,0.398) target=(1282,418) cursor=(1233,402)
[CURSOR-ABS] hand=(0.200,0.429) filter=(0.229,0.407) target=(1325,437) cursor=(1282,418)
[CURSOR-ABS] hand=(0.190,0.445) filter=(0.218,0.417) target=(1368,460) cursor=(1325,437)
[CURSOR-ABS] hand=(0.183,0.456) filter=(0.208,0.429) target=(1408,485) cursor=(1368,460)
[CURSOR-ABS] hand=(0.174,0.469) filter=(0.198,0.440) target=(1444,509) cursor=(1407,484)
[CURSOR-ABS] hand=(0.164,0.483) filter=(0.188,0.452) target=(1481,536) cursor=(1443,509)
[CURSOR-ABS] hand=(0.156,0.491) filter=(0.179,0.463) target=(1516,559) cursor=(1481,535)
[CURSOR-ABS] hand=(0.149,0.502) filter=(0.171,0.474) target=(1549,583) cursor=(1516,559)
[CURSOR-ABS] hand=(0.143,0.514) filter=(0.163,0.486) target=(1579,608) cursor=(1548,583)
[CURSOR-ABS] hand=(0.142,0.527) filter=(0.157,0.497) target=(1602,633) cursor=(1579,608)
[CURSOR-ABS] hand=(0.140,0.541) filter=(0.152,0.510) target=(1621,660) cursor=(1602,633)
[CURSOR-ABS] hand=(0.138,0.555) filter=(0.148,0.523) target=(1636,687) cursor=(1621,660)
[CURSOR-ABS] hand=(0.139,0.571) filter=(0.146,0.536) target=(1645,717) cursor=(1636,687)
[CURSOR-ABS] hand=(0.141,0.592) filter=(0.144,0.553) target=(1651,752) cursor=(1645,717)
[CURSOR-ABS] hand=(0.148,0.603) filter=(0.145,0.567) target=(1646,783) cursor=(1651,752)
[CURSOR-ABS] hand=(0.159,0.620) filter=(0.149,0.582) target=(1632,816) cursor=(1646,783)
[CURSOR-ABS] hand=(0.172,0.638) filter=(0.155,0.598) target=(1608,850) cursor=(1632,815)
[CURSOR-ABS] hand=(0.192,0.649) filter=(0.166,0.612) target=(1569,882) cursor=(1608,850)
[CURSOR-ABS] hand=(0.212,0.659) filter=(0.179,0.626) target=(1519,910) cursor=(1569,881)
[CURSOR-ABS] hand=(0.231,0.672) filter=(0.195,0.640) target=(1456,941) cursor=(1519,910)
[CURSOR-ABS] hand=(0.250,0.684) filter=(0.209,0.652) target=(1402,966) cursor=(1457,941)
[CURSOR-ABS] hand=(0.274,0.687) filter=(0.227,0.662) target=(1332,988) cursor=(1402,966)
[CURSOR-ABS] hand=(0.299,0.683) filter=(0.248,0.668) target=(1253,1001) cursor=(1333,987)
[CURSOR-ABS] hand=(0.323,0.684) filter=(0.270,0.672) target=(1169,1011) cursor=(1253,1001)
[CURSOR-ABS] hand=(0.347,0.679) filter=(0.292,0.674) target=(1085,1015) cursor=(1169,1011)
[CURSOR-ABS] hand=(0.373,0.681) filter=(0.315,0.676) target=(996,1019) cursor=(1085,1015)
[CURSOR-ABS] hand=(0.398,0.665) filter=(0.339,0.673) target=(904,1012) cursor=(996,1019)
[CURSOR-ABS] hand=(0.424,0.654) filter=(0.364,0.668) target=(809,1000) cursor=(905,1012)
[CURSOR-ABS] hand=(0.446,0.638) filter=(0.387,0.659) target=(717,983) cursor=(810,1001)
[CURSOR-ABS] hand=(0.471,0.617) filter=(0.411,0.648) target=(625,957) cursor=(717,983)
[CURSOR-ABS] hand=(0.492,0.595) filter=(0.435,0.633) target=(534,925) cursor=(625,957)
[CURSOR-ABS] hand=(0.509,0.574) filter=(0.456,0.616) target=(453,890) cursor=(534,925)
[CURSOR-ABS] hand=(0.525,0.546) filter=(0.476,0.596) target=(376,846) cursor=(454,890)
[CURSOR-ABS] hand=(0.535,0.521) filter=(0.493,0.575) target=(310,800) cursor=(377,846)
[CURSOR-ABS] hand=(0.541,0.491) filter=(0.515,0.538) target=(229,720) cursor=(310,800)
[CURSOR-ABS] hand=(0.539,0.469) filter=(0.522,0.518) target=(201,677) cursor=(229,721)
[CURSOR-ABS] hand=(0.531,0.454) filter=(0.524,0.500) target=(191,638) cursor=(201,677)
[CURSOR-ABS] hand=(0.521,0.430) filter=(0.523,0.480) target=(195,595) cursor=(191,638)
[CURSOR-ABS] hand=(0.508,0.408) filter=(0.519,0.459) target=(211,550) cursor=(195,596)
[CURSOR-ABS] hand=(0.493,0.385) filter=(0.512,0.438) target=(239,504) cursor=(211,551)
[CURSOR-ABS] hand=(0.478,0.366) filter=(0.502,0.417) target=(276,459) cursor=(239,505)
[CURSOR-ABS] hand=(0.461,0.352) filter=(0.490,0.397) target=(324,415) cursor=(276,459)
[CURSOR-ABS] hand=(0.441,0.337) filter=(0.477,0.381) target=(372,381) cursor=(323,416)
[CURSOR-ABS] hand=(0.422,0.325) filter=(0.462,0.365) target=(433,346) cursor=(372,381)
[CURSOR-ABS] hand=(0.403,0.318) filter=(0.445,0.351) target=(495,317) cursor=(432,346)
[CURSOR-ABS] hand=(0.388,0.315) filter=(0.428,0.341) target=(560,294) cursor=(495,317)
[CURSOR-ABS] hand=(0.372,0.316) filter=(0.413,0.334) target=(620,279) cursor=(559,295)
[CURSOR-ABS] hand=(0.357,0.314) filter=(0.397,0.328) target=(681,267) cursor=(619,279)
[CURSOR-ABS] hand=(0.344,0.314) filter=(0.382,0.324) target=(740,258) cursor=(681,267)
[CURSOR-ABS] hand=(0.332,0.311) filter=(0.368,0.320) target=(793,250) cursor=(739,258)
[CURSOR-ABS] hand=(0.320,0.316) filter=(0.354,0.319) target=(847,248) cursor=(793,251)
[CURSOR-ABS] hand=(0.307,0.318) filter=(0.341,0.319) target=(897,247) cursor=(846,248)
[CURSOR-ABS] hand=(0.296,0.321) filter=(0.328,0.320) target=(946,249) cursor=(896,247)
[CURSOR-ABS] hand=(0.284,0.323) filter=(0.315,0.321) target=(995,251) cursor=(946,249)
[CURSOR-ABS] hand=(0.271,0.329) filter=(0.303,0.323) target=(1042,256) cursor=(995,251)
[CURSOR-ABS] hand=(0.259,0.331) filter=(0.290,0.325) target=(1090,261) cursor=(1042,256)
[CURSOR-ABS] hand=(0.250,0.335) filter=(0.279,0.328) target=(1134,267) cursor=(1090,261)
[CURSOR-ABS] hand=(0.241,0.334) filter=(0.268,0.330) target=(1176,271) cursor=(1134,267)
[CURSOR-ABS] hand=(0.229,0.340) filter=(0.257,0.333) target=(1218,277) cursor=(1175,271)
[CURSOR-ABS] hand=(0.222,0.343) filter=(0.247,0.336) target=(1256,283) cursor=(1218,277)
[CURSOR-ABS] hand=(0.213,0.346) filter=(0.237,0.338) target=(1294,290) cursor=(1256,283)
[CURSOR-ABS] hand=(0.210,0.352) filter=(0.230,0.342) target=(1323,298) cursor=(1294,290)
[CURSOR-ABS] hand=(0.209,0.363) filter=(0.224,0.348) target=(1346,310) cursor=(1323,298)
[CURSOR-ABS] hand=(0.212,0.374) filter=(0.220,0.355) target=(1359,326) cursor=(1346,310)
[CURSOR-ABS] hand=(0.217,0.383) filter=(0.219,0.363) target=(1362,343) cursor=(1359,326)
[CURSOR-ABS] hand=(0.219,0.395) filter=(0.219,0.372) target=(1363,362) cursor=(1362,343)
[CURSOR-ABS] hand=(0.224,0.408) filter=(0.221,0.382) target=(1358,384) cursor=(1362,362)
[CURSOR-ABS] hand=(0.227,0.421) filter=(0.222,0.393) target=(1351,408) cursor=(1358,384)
[CURSOR-ABS] hand=(0.230,0.439) filter=(0.225,0.406) target=(1342,436) cursor=(1351,408)
[CURSOR-ABS] hand=(0.236,0.446) filter=(0.228,0.418) target=(1330,460) cursor=(1342,436)
[CURSOR-ABS] hand=(0.243,0.457) filter=(0.232,0.429) target=(1314,485) cursor=(1330,460)
[CURSOR-ABS] hand=(0.248,0.471) filter=(0.237,0.441) target=(1297,510) cursor=(1314,484)
[CURSOR-ABS] hand=(0.256,0.476) filter=(0.242,0.451) target=(1275,532) cursor=(1297,510)
[CURSOR-ABS] hand=(0.265,0.482) filter=(0.248,0.460) target=(1251,551) cursor=(1276,532)
[CURSOR-ABS] hand=(0.277,0.494) filter=(0.257,0.469) target=(1220,572) cursor=(1251,551)
